accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,log_loss,brier_score,Model,BalancedMethod,FeatureSelection,NumFeatures,overall_score,metrics_used,Rank
0.891722853,0.900133772,0.965925395,0.839398426,0.898228059,0.960869117,0.783764499,0.955307314,,1.291652297,0.084786317,random_forest,smote,logistic_l1,20,0.878081133,10,105
0.89158978,0.900317508,0.967930817,0.837294475,0.897885853,0.963340542,0.783634114,0.955345321,,1.296725599,0.084901118,random_forest,smote_tomek,logistic_l1,20,0.877881804,10,106
0.891501065,0.899989065,0.966244726,0.838697109,0.897964292,0.961281022,0.783356126,0.955535072,,1.288991036,0.084419135,random_forest,random_over,logistic_l1,20,0.877852257,10,107
0.882762598,0.893478455,0.973689104,0.816099119,0.887956251,0.97085779,0.767002269,0.979947403,,0.304838568,0.085961133,extra_trees,borderline_smote,anova,20,0.875989164,10,108
0.891190561,0.899540968,0.965053763,0.839242578,0.897761847,0.959839357,0.782680154,0.951073004,,1.520643822,0.085276319,extra_trees,smote_tomek,logistic_l1,20,0.874827743,10,109
0.889593683,0.898376327,0.966534368,0.834956752,0.895940466,0.961795902,0.779690806,0.955597132,,1.287930299,0.085586464,random_forest,tomek,logistic_l1,20,0.874665375,10,110
0.898199077,0.905321193,0.963086658,0.853892309,0.905208376,0.956750077,0.796132661,0.92775135,,2.643583151,0.093720724,knn,smote,logistic_l1,20,0.873071513,10,111
0.898021647,0.905190397,0.963236588,0.853424764,0.905011775,0.956956029,0.795797433,0.927845126,,2.641119943,0.092684528,knn,random_over,logistic_l1,20,0.872918614,10,112
0.890081618,0.89861702,0.965309607,0.836982779,0.896577629,0.960251261,0.780554164,0.9510214,,1.516428948,0.086663404,extra_trees,tomek,logistic_l1,20,0.872890233,10,113
0.898110362,0.905243269,0.963080169,0.853736461,0.905117931,0.956750077,0.795960019,0.927628694,,2.649672837,0.093797019,knn,smote_tomek,logistic_l1,20,0.872854378,10,114
0.889726757,0.898292798,0.965200971,0.83643731,0.896217751,0.960148285,0.779861901,0.951202802,,1.516383762,0.087918929,extra_trees,class_weight,logistic_l1,20,0.872270359,10,115
0.888484741,0.897364698,0.966205837,0.833242422,0.894811715,0.961486974,0.77752979,0.953502293,,1.277479631,0.085540738,random_forest,nearmiss,logistic_l1,20,0.872062581,10,116
0.88773066,0.896677291,0.965985164,0.83207356,0.894042785,0.961281022,0.776061093,0.955302323,,1.291244265,0.086702104,random_forest,class_weight,logistic_l1,20,0.871389119,10,117
0.88271824,0.893038662,0.970884555,0.818514767,0.888212413,0.967562558,0.766734703,0.971742302,,0.413414966,0.101206042,gradient_boosting,nearmiss,mutual_information,20,0.871002942,10,118
0.896646558,0.903982573,0.963136079,0.851009117,0.90360748,0.956956029,0.793122826,0.927665939,,2.645434521,0.09441093,knn,class_weight,logistic_l1,20,0.870443329,10,119
0.896646558,0.903982573,0.963136079,0.851009117,0.90360748,0.956956029,0.793122826,0.927648045,,2.646800711,0.094394961,knn,tomek,logistic_l1,20,0.870433708,10,120
0.892432576,0.89451924,0.927819796,0.879451414,0.902988359,0.909587066,0.782481394,0.94293063,,0.503303592,0.158683589,adaboost,borderline_smote,anova,20,0.870326833,10,121
0.880810859,0.891112775,0.969027367,0.816722512,0.886379974,0.965503038,0.762949742,0.97454554,,0.342744906,0.089920683,gradient_boosting,nearmiss,extra_trees,20,0.870135593,10,122
0.878681689,0.889931524,0.973728655,0.80869633,0.883572432,0.971166718,0.759179989,0.981382683,,0.298966257,0.084846027,extra_trees,adasyn,anova,20,0.869972383,10,123
0.899795955,0.906986872,0.964913823,0.85506117,0.906672175,0.958912573,0.79934539,0.917083415,,3.128879342,0.096562578,decision_tree,svm_smote,logistic_l1,20,0.869843317,10,124
0.880411639,0.885050282,0.932502773,0.851554586,0.890192245,0.918545979,0.759502534,0.971838506,,0.244565582,0.078888245,gradient_boosting,nearmiss,logistic_l1,20,0.869604469,10,125
0.888085522,0.896876254,0.965252708,0.83339827,0.894492535,0.960354237,0.776697782,0.951035218,,1.519049431,0.087170441,extra_trees,smote,logistic_l1,20,0.869579657,10,126
0.878105039,0.889374913,0.973340843,0.807995013,0.882994124,0.970754814,0.758050075,0.981222558,,0.30351615,0.085320011,random_forest,smote_enn,anova,20,0.868900667,10,127
0.886355571,0.889181439,0.926997589,0.868775812,0.89694288,0.909587066,0.770583135,,,,,sgd,adasyn,random_forest,20,0.867713868,7,128
0.888262952,0.896919368,0.964510899,0.834411283,0.894756633,0.959427453,0.776991674,0.946543199,,1.550011831,0.090790271,extra_trees,nearmiss,logistic_l1,20,0.867694821,10,129
0.886178141,0.887860678,0.920468507,0.875711057,0.897532146,0.900010298,0.76970519,,,,,sgd,nearmiss,anova,20,0.867538977,7,130
0.900904897,0.908988051,0.971779578,0.850619497,0.907171944,0.967356606,0.80190471,0.909143354,,3.563997199,0.098948021,decision_tree,adasyn,anova,20,0.867154318,10,131
0.885867637,0.88939168,0.930585865,0.863944518,0.896027801,0.914838843,0.769920536,,,,,sgd,svm_smote,random_forest,20,0.866704208,7,132
0.876463804,0.887983421,0.973604827,0.804800125,0.881191075,0.971166718,0.754926847,0.981711371,,0.283362486,0.083188384,random_forest,class_weight,anova,20,0.866646272,10,133
0.879790632,0.890492219,0.970881012,0.813215928,0.885081842,0.96776851,0.761116196,0.970826355,,0.357526543,0.094173646,gradient_boosting,smote_enn,mutual_information,20,0.86662138,10,134
0.877173527,0.888456503,0.97257701,0.806982,0.882074869,0.969931006,0.756215975,0.978919749,,0.320195442,0.089196792,extra_trees,enn,anova,20,0.866067155,10,135
0.875975869,0.887354424,0.972151661,0.805189745,0.880828574,0.969519102,0.753895893,0.981325209,,0.276359753,0.083954428,random_forest,smote,anova,20,0.865619597,10,136
0.885468417,0.894539915,0.964813639,0.82903452,0.891785415,0.960045309,0.771624246,0.951198826,,1.51233935,0.087055125,extra_trees,random_over,logistic_l1,20,0.865385222,10,137
0.877750177,0.888750068,0.971107994,0.809319723,0.882862972,0.968180414,0.75722138,0.973373232,,0.353566905,0.094097317,gradient_boosting,enn,mutual_information,20,0.864290618,10,138
0.884403833,0.887830362,0.928805031,0.863087353,0.894741094,0.91257337,0.766937905,,,,,sgd,adasyn,extra_trees,20,0.863922066,7,139
0.884004613,0.8861269,0.921117705,0.870801839,0.895253355,0.901451962,0.7655319,,,,,sgd,enn,anova,20,0.863337666,7,140
0.886399929,0.889257979,0.927216769,0.868619964,0.896962382,0.909895994,0.770686899,0.932110097,,0.446985066,0.091172161,logistic_regression,random_under,logistic_l1,20,0.862292138,10,141
0.896380412,0.904099528,0.965416334,0.848359698,0.903110742,0.959839357,0.792748092,0.914044929,,3.286673892,0.100701478,decision_tree,borderline_smote,logistic_l1,20,0.862271933,10,142
0.88329489,0.886831258,0.928511425,0.861295099,0.893641104,0.912367418,0.764763265,,,,,sgd,borderline_smote,extra_trees,20,0.861793538,7,143
0.883073101,0.8866615,0.928625473,0.86074963,0.893400194,0.91257337,0.764342478,,,,,sgd,svm_smote,mutual_information,20,0.861364277,7,144
0.897622427,0.906831365,0.976546228,0.840333515,0.903333892,0.973329214,0.795819303,0.90826228,,3.616345166,0.101321977,decision_tree,smote,anova,20,0.861195451,10,145
0.874866927,0.886242587,0.971108602,0.804098808,0.879747645,0.968386366,0.751704471,0.972553388,,0.346011016,0.093313458,gradient_boosting,smote,mutual_information,20,0.859321566,10,146
0.895803762,0.904933298,0.97438914,0.839008805,0.901645522,0.97085779,0.792174353,0.909569902,,3.542855108,0.100370791,decision_tree,random_under,anova,20,0.859000075,10,147
0.884093329,0.886718388,0.923996017,0.867762799,0.894996986,0.905673978,0.765943727,0.933869873,,0.460170512,0.093743389,logistic_regression,nearmiss,anova,20,0.8589997,10,148
0.881698013,0.885441151,0.928366762,0.858411907,0.89201992,0.912470394,0.761656662,,,,,sgd,adasyn,mutual_information,20,0.85872118,7,149
0.874467708,0.885466046,0.968086102,0.80604691,0.879666638,0.964885182,0.750733059,0.972571161,,0.370940596,0.096791615,gradient_boosting,smote_enn,random_forest,20,0.858245068,10,150
0.883605394,0.886840948,0.927047603,0.863476973,0.894133785,0.910204922,0.765246705,0.931928402,,0.452791707,0.092168874,logistic_regression,random_over,logistic_l1,20,0.857537874,10,151
0.883516678,0.886750498,0.926963942,0.863399049,0.894053094,0.910101946,0.765067777,0.931611963,,0.452465139,0.092067014,logistic_regression,smote_tomek,logistic_l1,20,0.857279844,10,152
0.883516678,0.886750498,0.926963942,0.863399049,0.894053094,0.910101946,0.765067777,0.931589824,,0.452221428,0.092119155,logistic_regression,smote,logistic_l1,20,0.857267337,10,153
0.883383605,0.886683715,0.927231619,0.862853581,0.893884965,0.91051385,0.764831435,0.932171571,,0.446020381,0.093501375,logistic_regression,class_weight,logistic_l1,20,0.857169278,10,154
0.883206175,0.88676586,0.928571429,0.861061326,0.89354304,0.912470394,0.764596105,0.933049796,,0.46467799,0.097503707,logistic_regression,svm_smote,mutual_information,20,0.856793949,10,155
0.893807665,0.901251009,0.961371873,0.847502533,0.900853143,0.954999485,0.787508295,0.911193389,,3.368072663,0.101817381,decision_tree,adasyn,logistic_l1,20,0.856577938,10,156
