accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,Model,BalancedMethod,FeatureSelection,NumFeatures,overall_score,metrics_used,Rank
0.781227821,0.653318836,0.802924942,0.781227821,0.778761584,,0.671108099,0.945160333,0.886749803,extra_trees,random_under,anova,20,0.899923554,8,134
0.762597587,0.687197308,0.842593728,0.762597587,0.786585307,,0.65813646,,,sgd,smote_tomek,logistic_l1,20,0.898944081,6,135
0.762198368,0.686955652,0.842673428,0.762198368,0.786727163,,0.657796052,,,sgd,smote,logistic_l1,20,0.898748185,6,136
0.771735273,0.697017169,0.794884075,0.771735273,0.776478435,,0.669819449,,,sgd,smote,mutual_information,20,0.897687623,6,137
0.790942158,0.651547953,0.816058762,0.790942158,0.761051559,,0.678942855,0.953566665,0.87311343,logistic_regression,tomek,variance,122,0.897658616,8,138
0.790542938,0.605520408,0.824637117,0.790542938,0.756980912,,0.676880629,0.954165063,0.92146945,extra_trees,smote_enn,random_forest,20,0.89736042,8,139
0.783445706,0.648614104,0.816695589,0.783445706,0.760497782,,0.665776991,0.939824785,0.898735639,extra_trees,smote_enn,logistic_l1,20,0.897269691,8,140
0.784199787,0.671171594,0.805701665,0.784199787,0.757087887,,0.678100815,0.939920663,0.873546935,logistic_regression,borderline_smote,random_forest,20,0.896566289,8,141
0.759137686,0.682650756,0.846723788,0.759137686,0.786080488,,0.654027964,,,sgd,smote_enn,logistic_l1,20,0.896229415,6,142
0.787704045,0.647336541,0.811559236,0.787704045,0.755538687,,0.673952017,0.954442884,0.878179921,logistic_regression,class_weight,variance,122,0.894586692,8,143
0.793381831,0.579582153,0.824670589,0.793381831,0.770016989,,0.679382347,0.946598796,0.917334121,random_forest,smote_enn,anova,20,0.894517512,8,144
0.781183463,0.684361575,0.809555034,0.781183463,0.772526824,,0.667022613,0.915995897,0.846704787,adaboost,smote,variance,122,0.893377633,8,145
0.781183463,0.684361575,0.809555034,0.781183463,0.772526824,,0.667022613,0.915976467,0.846661883,adaboost,smote_tomek,variance,122,0.893366347,8,146
0.792760823,0.579555687,0.826114311,0.792760823,0.773084597,,0.67706903,0.940496947,0.912558747,random_forest,enn,extra_trees,20,0.893319944,8,147
0.788058907,0.613613802,0.823258973,0.788058907,0.752237843,,0.669509143,0.946848046,0.91136801,gradient_boosting,enn,mutual_information,20,0.893242053,8,148
0.792760823,0.576457702,0.823347192,0.792760823,0.770514923,,0.676818802,0.95273547,0.91279035,random_forest,enn,anova,20,0.893098044,8,149
0.787171753,0.663449966,0.812468061,0.787171753,0.753407291,,0.67310924,0.949807595,0.860223666,logistic_regression,enn,variance,122,0.893029939,8,150
0.777945351,0.621772125,0.828539435,0.777945351,0.738114424,,0.650807334,0.962642939,0.930880541,random_forest,adasyn,variance,122,0.892725967,8,151
0.780562456,0.641629384,0.817318877,0.780562456,0.756254293,,0.659414715,0.930435831,0.898664952,extra_trees,smote_tomek,logistic_l1,20,0.892098926,8,152
0.774795955,0.648020802,0.811274164,0.774795955,0.78796636,,0.675517224,,,sgd,random_under,mutual_information,20,0.891906202,6,153
0.789079134,0.652434634,0.817361729,0.789079134,0.765830611,,0.678202087,,,sgd,enn,variance,122,0.891766504,6,154
0.789522711,0.651385013,0.819574401,0.789522711,0.763989,,0.679021829,,,sgd,tomek,variance,122,0.89139527,6,155
0.777989709,0.619792868,0.82799333,0.777989709,0.738795099,,0.650764142,0.963805629,0.925148051,random_forest,smote_enn,variance,122,0.891343403,8,156
0.787260468,0.57937489,0.8227979,0.787260468,0.764668238,,0.669632472,0.947475444,0.921562167,random_forest,smote_enn,extra_trees,20,0.891076412,8,157
0.777368701,0.608740459,0.827843194,0.777368701,0.738553419,,0.649250076,0.967830467,0.934112731,random_forest,svm_smote,variance,122,0.890872072,8,158
0.779054294,0.643249082,0.817002132,0.779054294,0.755068027,,0.656677685,0.927143767,0.897979502,extra_trees,smote,logistic_l1,20,0.890865696,8,159
0.7897445,0.579618523,0.809557101,0.7897445,0.770358288,,0.68139803,0.962916861,0.899137843,logistic_regression,enn,mutual_information,20,0.890427133,8,160
0.770271469,0.687597374,0.781432778,0.770271469,0.771505912,,0.6611385,,,sgd,smote_enn,anova,20,0.89019829,6,161
0.78317956,0.606049244,0.818264843,0.78317956,0.760557082,,0.665139938,0.949121137,0.903816615,random_forest,smote_enn,logistic_l1,20,0.890145117,8,162
0.784820795,0.5941212,0.821925844,0.784820795,0.75051418,,0.667199011,0.95401923,0.917722804,extra_trees,adasyn,random_forest,20,0.889423255,8,163
0.786595103,0.581866852,0.818096768,0.786595103,0.751815783,,0.669811374,0.95758192,0.922734192,extra_trees,smote_enn,mutual_information,20,0.889008048,8,164
0.782913414,0.610630019,0.820890141,0.782913414,0.758779968,,0.663232514,0.931672967,0.899992969,random_forest,smote_tomek,logistic_l1,20,0.887861131,8,165
0.785974095,0.577870634,0.819882068,0.785974095,0.76293793,,0.66766096,0.945696938,0.914885453,extra_trees,smote_enn,extra_trees,20,0.8878286,8,166
0.771957062,0.618495888,0.82378087,0.771957062,0.733827055,,0.640814522,0.966400868,0.928472247,random_forest,smote_tomek,variance,122,0.887553694,8,167
0.775062101,0.684479723,0.769214746,0.775062101,0.761117708,,0.669411701,,,sgd,borderline_smote,extra_trees,20,0.887377283,6,168
0.788103265,0.572179662,0.806156966,0.788103265,0.767915804,,0.678594023,0.963241211,0.899053083,logistic_regression,tomek,mutual_information,20,0.887099337,8,169
0.783490064,0.607631666,0.820176938,0.783490064,0.75939252,,0.663872573,0.933602857,0.896702117,random_forest,smote,logistic_l1,20,0.887053722,8,170
0.786018453,0.575270323,0.821197993,0.786018453,0.76088308,,0.667060512,0.941109049,0.917706528,random_forest,smote,anova,20,0.886872177,8,171
0.779542229,0.635765199,0.814894624,0.779542229,0.754205879,,0.657596849,0.922536198,0.889474644,extra_trees,svm_smote,logistic_l1,20,0.886739621,8,172
0.785131299,0.573404978,0.820572144,0.785131299,0.761263393,,0.665812446,0.944744123,0.918574881,random_forest,smote_tomek,anova,20,0.886711365,8,173
0.786861249,0.574603149,0.817472658,0.786861249,0.76306105,,0.669766382,0.940581113,0.912866539,extra_trees,smote_enn,anova,20,0.88642175,8,174
0.781493967,0.594304783,0.814259072,0.781493967,0.742755732,,0.660113864,0.951610124,0.923661396,random_forest,smote_enn,mutual_information,20,0.885978145,8,175
0.781848829,0.627813509,0.820640027,0.781848829,0.735124026,,0.657640891,0.955710551,0.89304133,gradient_boosting,enn,variance,122,0.885577268,8,176
0.78317956,0.575484333,0.822223288,0.78317956,0.759550141,,0.662485895,0.937619944,0.919116503,random_forest,smote,extra_trees,20,0.885262173,8,177
0.780118879,0.578492396,0.818661568,0.780118879,0.756644818,,0.658217766,0.940935631,0.924528291,random_forest,adasyn,anova,20,0.885010449,8,178
0.772844216,0.62568441,0.826498822,0.772844216,0.727589407,,0.641693462,0.95710166,0.91661207,extra_trees,tomek,variance,122,0.884503495,8,179
